title,author,lat,lon,landscape,landscape2
Vertebrate_Hosts_of_Aedes_aegypti_and_Aedes_mediovittatus_(Diptera:_Culicidae)_in_Rural_Puerto_Rico,Barrera_2012,17.987778,-66,urban,disturbed
Mosquito_Abundance_is_Correlated_with_Cliff_Swallow_(Petrochelidon_pyrrhonota)_Colony_Size,Brown2002,41.219269,-101.749519,wild,wild
Longitudinal_Studies_of_Aedes_aegypti_(Diptera:_Culicidae)_in_Thailand_and_Puerto_Rico:_Blood_Feeding_Frequency,Scott2000,18.383333,-66.55,urban,disturbed
Blood-meal_preferences_and_avian_malaria_detection_in_mosquitoes_(Diptera:_Culicidae)_captured_at_different_land_use_types_within_a_neotropical_montane_cloud_forest_matrix,Abella-Medrano2018,19.454167,-97.007778,wild,wild
Blood-meal_preferences_and_avian_malaria_detection_in_mosquitoes_(Diptera:_Culicidae)_captured_at_different_land_use_types_within_a_neotropical_montane_cloud_forest_matrix,Abella-Medrano2018,19.551944,-96.938333,urban,disturbed
Host-feeding_patterns_of_Aedes_albopictus_(Diptera:_Culicidae)_in_relation_to_availability_of_human_and_domestic_animals_in_suburban_landscapes_of_central_North_Carolina,Richards2016,35.8,-76.6,rural,disturbed
Mosquito-host_interactions_during_and_after_an_outbreak_of_equine_viral_encephalitis_in_eastern_Panama,Navia-gine2013,8.361167,-77.940667,wild,wild
High_rate_of_non-human_feeding_by_aedes_aegypti_reduces_zika_virus_transmission_in_South_Texas,Olson2020,26.158934,-97.830089,urban,disturbed
Host_selection_of_Aedes_aegypti_and_Culex_quinquefasciatus_females_in_a_semi-desert_environment_in_Northern_Mexico,Juache-Villagrana2020,31.774893,-106.555924,urban,disturbed
Intensive_trapping_of_blood-fed_Anopheles_darlingi_in_Amazonian_Peru_reveals_unexpectedly_high_proportions_of_avian_blood-meals,Moreno2017,-4.23035,-73.487833,urban,disturbed
"Feeding_habits_of_mosquitoes_(Diptera:_Culicidae)_in_an_area_of_sylvatic_transmission_of_yellow_fever_in_the_state_of_S‹o_Paulo,_Brazil",Mucci2015,-21.5212,-49.3683,rural,disturbed
"Feeding_Patterns_of_Mosquitoes_(Diptera:_Culicidae)_in_the_Atlantic_Forest,_Rio_de_Janeiro,_Brazil",Alencar2015,-22.443778,-42.908444,wild,wild
Host_Selection_by_Culex_pipiens_Mosquitoes_and_West_Nile_Virus_Amplification,Hamer2009,41.7,-87.73,urban,disturbed
Host_reproductive_phenology_drives_seasonal_patterns_of_host_use_in_mosquitoes,Burkett-Cadena2011,32.478846,-85.609963,wild,wild
Host_(avian)_biting_preference_of_southern_california_Culex_mosquitoes_(Diptera:_Culicidae),Lura2012,33.870608,-117.118572,wild,wild
Feeding_patterns_of_mosquitoes_(Diptera:_Culicidae)_in_six_Brazilian_environmental_preservation_areas,DosSantosSilva2012,-25.625431,-54.460722,wild,wild
Blood-feeding_ecology_of_mosquitoes_in_zoos,Tuten2012,34.847718,-82.385616,urban,disturbed
"Identification_of_blood_meal_sources_in_aedes_vexans_and_culex_quinquefasciatus_in_Bernalillo_County,_New_Mexico",Greenberg2013,35.077787,-106.66265,urban,disturbed
Innate_preference_or_opportunism:_Mosquitoes_feeding_on_birds_of_prey_at_the_Southeastern_Raptor_Center,Burkett-Cadena2014,32.597058,-85.514339,urban,disturbed
"Vertebrate_Hosts_of_Aedes_aegypti,_Aedes_albopictus,_and_Culex_quinquefasciatus_(Diptera:_Culicidae)_as_Potential_Vectors_of_Zika_Virus_in_Florida",Stenn2018,27.67533,-80.432628,urban,disturbed
Anopheles_(Kerteszia)_cruzii_(Diptera:_Culicidae)_in_peridomiciliary_area_during_asymptomatic_malaria_transmission_in_the_atlantic_forest:_Molecular_identification_of_blood-meal_sources_indicates_humans_as_primary_intermediate_hosts,Kirchgatter2014,-23.991306,-47.092694,rural,disturbed
Biotin-avidin_sandwich_elisa_with_specific_human_isotypes_IgG1_and_IgG4_for_Culicidae_mosquito_blood_meal_identification_from_an_epizootic_yellow_fever_area_in_Brazil,Marassa2009,-28.27749,-55.750652,rural,disturbed
