mosquito,study,samples_per_study
Aedes_scapularis,Mucci2015,16
Psorophora_albigenu,Mucci2015,14
Aedes_serratus,Mucci2015,9
Psorophora_ferox,Mucci2015,6
Aedes_scapularis,DosSantosSilva2012,5
Psorophora_ferox,DosSantosSilva2012,4
Aedes_crinifer,Marassa2009,3
Aedes_scapularis,Marassa2009,3
Aedes_serratus,DosSantosSilva2012,3
Aedes_terrens,DosSantosSilva2012,3
Anopheles_cruzii,DosSantosSilva2012,3
Anopheles_darlingi,Moreno2017,3
Anopheles_evansae,DosSantosSilva2012,2
Haemagogus_leucocelaenus,DosSantosSilva2012,3
Haemagogus_leucocelaenus,Marassa2009,3
Psorophora_albigenu,DosSantosSilva2012,3
Psorophora_ferox,Marassa2009,3
Anopheles_evansae,Alencar2015,1
Aedes_aegypti,Barrera_2012,2
Aedes_aegypti,Stenn2018,2
Aedes_albopictus,Stenn2018,2
Aedes_albopictus,Tuten2012,2
Aedes_fulvus,DosSantosSilva2012,2
Aedes_mediovittatus,Barrera_2012,2
Aedes_quadrivittatus,Abella-Medrano2018,2
Aedes_serratus,Marassa2009,2
Anopheles_albitarsis,DosSantosSilva2012,2
Anopheles_punctipennis,Tuten2012,2
Anopheles_punctipennis,Burkett-Cadena2014,1
Chagasia_fajardi,DosSantosSilva2012,3
Culex_quinquefasciatus,Stenn2018,2
Culex_restuans,Abella-Medrano2018,2
Mansonia_humeralis,Mucci2015,2
Mansonia_titillans,DosSantosSilva2012,2
Psorophora_albipes,DosSantosSilva2012,2
Runchomyia_theobaldi,DosSantosSilva2012,2
Sabethes_quasicyaneus,Marassa2009,2
Trichoprosopon_digitatum,DosSantosSilva2012,2
Aedes_aegypti,Juache-Villagrana2020,1
Aedes_aegypti,Olson2020,1
Aedes_aegypti,Scott2000,1
Aedes_albopictus,Richards2016,1
Aedes_fulvus,Mucci2015,1
Aedes_scapularis,Alencar2015,1
Aedes_serratus,Alencar2015,1
Aedes_sticticus,Burkett-Cadena2011,1
Aedes_terrens,Mucci2015,1
Aedes_triseriatus,Tuten2012,1
Aedes_vexans,Brown2002,1
Aedes_vexans,Burkett-Cadena2011,1
Aedes_vexans,Greenberg2013,1
Aedes_vexans,Hamer2009,1
Anopheles_albitarsis,Alencar2015,1
Anopheles_apicimacula,Navia-gine2013,1
Anopheles_aquasalis,Alencar2015,1
Anopheles_argyritarsis,Alencar2015,1
Anopheles_benarrochi,Alencar2015,1
Anopheles_cruzii,Alencar2015,1
Anopheles_cruzii,Kirchgatter2014,1
Anopheles_eiseni,Alencar2015,1
Coquillettidia_venezuelensis,Alencar2015,1
Anopheles_intermedius,Alencar2015,1
Anopheles_minor,Alencar2015,1
Anopheles_punctimacula,Navia-gine2013,1
Coquillettidia_venezuelensis,Mucci2015,1
Anopheles_quadrimaculatus,Tuten2012,1
Anopheles_rangeli,Alencar2015,1
Anopheles_strodei,Alencar2015,1
Anopheles_triannulatus,Alencar2015,1
Coquillettidia_juxtamansonia,Alencar2015,1
Coquillettidia_perturbans,Burkett-Cadena2011,1
Coquillettidia_venezuelensis,Navia-gine2013,1
Culex_erraticus,Burkett-Cadena2011,1
Culex_erraticus,Burkett-Cadena2014,1
Culex_(Melanoconion)_sp.,Navia-gine2013,1
Culex_bastagarius,Alencar2015,1
Culex_coronator,Navia-gine2013,1
Culex_declarator,Alencar2015,1
Culex_erraticus,Tuten2012,1
Culex_pipiens,Tuten2012,2
Culex_pipiens,Hamer2009,1
Culex_erythrothorax,Lura2012,1
Culex_nigripalpus,Navia-gine2013,1
Culex_peccator,Burkett-Cadena2011,1
Culex_territans,Burkett-Cadena2011,1
Culex_pleuristriatus,Alencar2015,1
Culex_quinquefasciatus,Burkett-Cadena2011,1
Culex_quinquefasciatus,Burkett-Cadena2014,1
Culex_quinquefasciatus,Greenberg2013,1
Culex_quinquefasciatus,Juache-Villagrana2020,1
Culex_quinquefasciatus,Lura2012,1
Culex_quinquefasciatus,Olson2020,1
Culex_restuans,Burkett-Cadena2014,1
Culex_restuans,Hamer2009,1
Culex_restuans,Tuten2012,1
Culex_salinarius,Burkett-Cadena2014,1
Culex_tarsalis,Brown2002,1
Culex_tarsalis,Lura2012,1
Culex_territans,Burkett-Cadena2014,1
Culex_territans,Tuten2012,1
Sabethes_albiprivus,Marassa2009,3
Culex_usquatus,Alencar2015,1
Haemagogus_janthinomys/capricornii,Mucci2015,1
Mansonia_indubitans,Navia-gine2013,1
Mansonia_titillans,Alencar2015,1
Mansonia_titillans,Mucci2015,1
Mansonia_titillans,Navia-gine2014,1
Psorophora_albigenu,Marassa2009,1
Psorophora_cingulata,Navia-gine2013,1
Psorophora_discrucians,Mucci2015,1
Psorophora_ferox,Navia-gine2013,1
Sabethes_chloropterus,Marassa2009,1
Wyeomyia_adelpha,Abella-Medrano2018,1
Wyeomyia_sp.,Mucci2015,1
